Status,Neutral,Warehouse,Guid,Code,Type,Area,SubNode,name,Latitude,Longitude,Level,X,Y
active,1,brya,0,BRYA-WS2-01,empty,bd,null,node00,0,0,1,null,null
active,1,brya,1,BRYA-WS2-02,empty,bd,null,node01,1,0,1,null,null
active,1,brya,2,BRYA-WS2-03,empty,bd,null,node02,2,0,1,null,null
active,1,brya,3,BRYA-WS2-04,empty,bd,null,node03,3,0,1,null,null
active,1,brya,4,BRYA-WS2-05,empty,bd,null,node04,4,0,1,null,null
active,1,brya,5,BRYA-WS2-06,empty,bd,null,node05,5,0,1,null,null
active,1,brya,6,BRYA-WS2-07,empty,bd,null,node06,6,0,1,null,null
active,1,brya,7,BRYA-WS2-08,empty,bd,null,node07,7,0,1,null,null
active,1,brya,8,BRYA-WS2-09,empty,bd,null,node08,8,0,1,null,null
active,1,brya,9,BRYA-WS2-10,path,bd,null,node09,9,0,1,null,null
active,1,brya,10,BRYA-WS2-11,bin,bd,null,node10,10,0,1,null,null
active,1,brya,11,BRYA-WS2-12,bin,bd,null,node11,11,0,1,null,null
active,1,brya,12,BRYA-WS2-13,bin,bd,null,node12,12,0,1,null,null
active,1,brya,13,BRYA-WS2-14,bin,bd,null,node13,13,0,1,null,null
active,1,brya,14,BRYA-WS2-15,bin,bd,null,node14,14,0,1,null,null
active,1,brya,15,BRYA-WS2-16,bin,bd,null,node15,15,0,1,null,null
active,1,brya,16,BRYA-WS2-17,bin,bd,null,node16,16,0,1,null,null
active,1,brya,17,BRYA-WS2-18,bin,bd,null,node17,17,0,1,null,null
active,1,brya,18,BRYA-WS2-19,empty,bd,null,node18,18,0,1,null,null
active,1,brya,19,BRYA-WS2-20,path,bd,null,node19,19,0,1,null,null
active,1,brya,20,BRYA-WS2-21,empty,bd,null,node20,20,0,1,null,null
active,1,brya,21,BRYA-WS2-22,empty,bd,null,node21,21,0,1,null,null
active,1,brya,22,BRYA-WS2-23,empty,bd,null,node22,22,0,1,null,null
active,1,brya,23,BRYA-WS2-24,empty,bd,null,node23,23,0,1,null,null
active,1,brya,24,BRYA-WS2-25,empty,bd,null,node24,24,0,1,null,null
