SKU,Location,Qty,ExpiredDate,SubLevel,Latitude,Longitude,level
SPBAN,LC A 111,5,7/8/2020,LC,10,12,1
SPBAN,PA A 01,5,6/30/2020,PA,8,14,1
SPBAN,PA A 02,5,6/19/2020,PA,10,11,1
SPBAN,PA A 03,5,6/25/2020,PA,11,12,1
SPBAN,PA A 04,5,7/16/2020,PA,8,14,1
SPBAN,PA A 05,5,6/23/2020,PA,13,14,1
SPBAN,PA A 06,5,7/13/2020,PA,10,11,1
SPBAN,PA A 07,5,6/18/2020,PA,10,11,1
SPBAN,PA A 08,5,7/17/2020,PA,11,13,1
SPBAN,PA A 09,5,7/4/2020,PA,13,14,1
SPBAN,PA A 10,5,7/13/2020,PA,8,13,1
SPBAN,HL A 01,5,6/27/2020,HL,10,14,1
SPBAN,HL A 02,5,6/24/2020,HL,13,13,1
SPBAN,HL A 03,5,7/7/2020,HL,10,13,1
SPBAN,HL A 04,5,6/28/2020,HL,13,11,1
SPBAN,HL A 05,5,6/20/2020,HL,11,14,1
SPBAN,HL A 06,5,7/2/2020,HL,7,14,1
SPBAN,HL A 07,5,6/20/2020,HL,11,13,1
SPBAN,HL A 08,5,7/5/2020,HL,14,13,1
SPBAN,HL A 09,5,7/11/2020,HL,11,14,1
SPBAN,HL A 10,5,6/30/2020,HL,8,13,1
SPBAN,HL A 11,5,6/20/2020,HL,11,13,1
SPBAN,HL A 12,5,7/13/2020,HL,14,13,1
SPBAN,HL A 13,5,7/15/2020,HL,13,13,1
SPBAN,HL A 14,5,7/2/2020,HL,7,14,1
SPBAN,HL A 15,5,6/23/2020,HL,8,13,1
SPBAN,HL A 16,5,7/5/2020,HL,10,11,1
SPBAN,HL A 17,5,6/17/2020,HL,8,14,1
SPBAN,HL A 18,5,6/23/2020,HL,13,12,1
SPBAN,HL A 19,5,6/22/2020,HL,7,11,1
SPBAN,HL A 20,5,6/22/2020,HL,7,13,1
SPBAN,HL A 21,5,6/17/2020,HL,8,14,1
SPBAN,HL A 22,5,6/30/2020,HL,13,13,1
SPBAN,HL A 23,5,7/3/2020,HL,13,11,1
SPBAN,HL A 24,5,7/2/2020,HL,11,13,1
SPBAN,HL A 25,5,7/3/2020,HL,8,13,1
SPBAN,HL A 26,7,6/30/2020,HL,13,14,1
SPBAN,HL A 27,5,7/3/2020,HL,13,13,1
SPBAN,HL A 28,4,6/29/2020,HL,13,13,1
SPBAN,HL A 29,4,6/24/2020,HL,8,13,1
SPBAN,HL A 30,3,6/26/2020,HL,10,14,1
SPBAN,TL A 01,9,7/15/2020,TL,14,12,1
SPBAN,TL A 02,1,6/17/2020,TL,14,11,1
SPBAN,TL A 03,4,6/28/2020,TL,7,14,1
SPBAN,TL A 04,4,6/24/2020,TL,11,13,1
SPBAN,TL A 05,3,6/30/2020,TL,11,13,1
SPBAN,Q A 01,4,6/23/2020,Q,14,13,1
SPBAN,Q A 02,4,7/2/2020,Q,11,13,1
SPBAN,Q A 03,9,6/19/2020,Q,8,11,1
SPBAN,Q A 04,5,7/7/2020,Q,11,13,1
SPBAN,Q A 05,3,7/7/2020,Q,13,13,1
SPBAN,Q A 06,2,6/24/2020,Q,14,13,1
SPBAN,Q A 07,8,7/7/2020,Q,13,12,1
SPBAN,Q A 08,2,7/12/2020,Q,7,13,1
SPBAN,Q A 09,6,7/3/2020,Q,7,13,1
SPBAN,Q A 10,1,6/17/2020,Q,10,13,1
SPBAN,Q A 11,6,7/6/2020,Q,11,13,1
SPBAN,Q A 12,3,7/4/2020,Q,13,12,1
SPBAN,Q A 13,3,6/23/2020,Q,8,13,1
SPBAN,Q A 14,9,7/17/2020,Q,14,12,1
SPBAN,Q A 15,4,7/4/2020,Q,11,12,1
SPBAN,Q A 16,1,6/20/2020,Q,13,11,1
SPBAN,Q A 17,2,7/1/2020,Q,11,12,1
SPBAN,Q A 18,4,7/13/2020,Q,13,12,1
SPBAN,Q A 19,5,7/13/2020,Q,7,13,1
SPBAN,Q A 20,4,7/2/2020,Q,14,13,1
SPBAN,Q A 21,5,6/26/2020,Q,13,13,1
SPBAN,Q A 22,6,7/9/2020,Q,13,11,1
SPBAN,Q A 23,4,6/17/2020,Q,10,14,1
SPBAN,Q A 24,1,7/11/2020,Q,8,13,1
SPBAN,Q A 25,3,7/17/2020,Q,10,12,1
SPBAN,Q A 26,9,6/20/2020,Q,11,11,1
SPBAN,Q A 27,5,7/21/2020,Q,13,13,1
SPBAN,Q A 28,5,7/19/2020,Q,13,11,1
SPBAN,Q A 29,5,8/1/2020,Q,14,11,1
SPBAN,Q A 30,5,7/21/2020,Q,13,13,1
SPBAN,11 A 011,5,8/2/2020,11,7,13,1
SPBAN,11 A 012,5,7/25/2020,11,14,14,1
SPBAN,11 A 013,5,8/1/2020,11,7,11,1
SPBAN,11 A 021,5,7/21/2020,11,14,13,1
SPBAN,11 A 022,5,7/23/2020,11,7,11,1
SPBAN,11 A 023,5,7/20/2020,11,8,13,1
SPBAN,11 A 031,5,7/18/2020,11,7,12,1
SPBAN,11 A 032,5,7/31/2020,11,8,13,1
SPBAN,11 A 033,5,7/31/2020,11,10,11,1
SPBAN,11 A 041,5,8/2/2020,11,8,14,1
SPBAN,11 A 042,5,7/21/2020,11,7,11,1
SPBAN,11 A 043,5,7/31/2020,11,13,13,1
SPBAN,11 A 051,5,7/23/2020,11,11,13,1
SPBAN,11 A 052,5,7/28/2020,11,10,14,1
SPBAN,11 A 053,5,7/20/2020,11,14,13,1
SPBAN,11 A 061,5,7/26/2020,11,8,11,1
SPBAN,11 A 062,5,7/30/2020,11,10,11,1
SPBAN,11 A 063,5,7/25/2020,11,14,13,1
SPBAN,11 A 071,5,7/27/2020,11,10,14,1
SPBAN,11 A 072,5,7/18/2020,11,13,11,1
SPBAN,11 A 073,5,7/18/2020,11,13,13,1
SPBAN,11 A 081,5,7/27/2020,11,8,13,1
SPBAN,11 A 082,5,7/27/2020,11,7,12,1
SPBAN,11 A 083,5,7/20/2020,11,7,14,1
SPBAN,11 A 091,5,7/18/2020,11,13,13,1
SPBAN,11 A 092,5,7/24/2020,11,7,11,1
SPBAN,11 A 093,5,7/31/2020,11,11,14,1
SPBAN,11 A 101,5,7/21/2020,11,8,12,1
SPBAN,11 A 102,5,7/23/2020,11,14,13,1
SPBAN,11 A 103,5,7/24/2020,11,11,14,1
SPBAN,11 A 111,5,7/27/2020,11,7,13,1
SPBAN,11 A 112,5,7/31/2020,11,13,11,1
SPBAN,11 A 113,9,7/23/2020,11,11,12,1
SPBAN,11 A 121,2,7/22/2020,11,11,11,1
SPBAN,11 A 122,3,7/24/2020,11,10,12,1
SPBAN,11 A 123,3,8/2/2020,11,10,13,1
SPBAN,11 A 131,6,7/27/2020,11,10,14,1
SPBAN,11 A 132,3,8/2/2020,11,13,13,1
SPBAN,11 A 133,8,8/2/2020,11,13,11,1
SPBAN,11 A 141,1,7/23/2020,11,14,13,1
SPBAN,11 A 142,7,7/18/2020,11,8,14,1
SPBAN,11 A 143,8,8/1/2020,11,11,11,1
SPBAN,11 A 151,6,8/1/2020,11,11,13,1
SPBAN,11 A 152,1,7/25/2020,11,13,13,1
SPBAN,11 A 153,9,7/27/2020,11,7,11,1
SPBAN,11 A 161,1,7/29/2020,11,10,11,1
