Location,BinType,LWH,Volume,Row,SubLevel,Longitude,Latitude,Neutral,Level,Warehouse,Area,Type,Code,Status
10 10 A 100,3,100x100x100,1000000,,10,70,30,1,1,Q7,CEN,bin,Q7-CEN-31,active
10 10 A 103,3,100x100x100,1000000,,10,70,30,1,1,Q7,CEN,bin,Q7-CEN-32,active
I 2 A 22,0,10x10x10,1000,2,A,2,22,1,1,Q7,CEN,bin,Q7-CEN-33,active
I C A 10,3,100x100x100,1000000,C,A,3,10,-1,1,Q7,CEN,bin,Q7-CEN-34,active
I C A 13,3,100x100x100,1000000,C,A,3,13,-1,1,Q7,CEN,bin,Q7-CEN-35,active
I I A 01,4,50x50x50,125000,I,A,1,1,-1,1,Q7,CEN,bin,Q7-CEN-36,active
I I A 02,4,50x50x50,125000,I,A,1,2,-1,1,Q7,CEN,bin,Q7-CEN-37,active
I I A 03,4,50x50x50,125000,I,A,1,3,-1,1,Q7,CEN,bin,Q7-CEN-38,active
I I A 04,4,50x50x50,125000,I,A,1,4,-1,1,Q7,CEN,bin,Q7-CEN-39,active
I I A 05,4,50x50x50,125000,I,A,1,5,-1,1,Q7,CEN,bin,Q7-CEN-40,active
I I A 06,4,50x50x50,125000,I,A,1,6,-1,1,Q7,CEN,bin,Q7-CEN-41,active
I I A 07,4,50x50x50,125000,I,A,1,7,-1,1,Q7,CEN,bin,Q7-CEN-42,active
I I A 08,4,50x50x50,125000,I,A,1,8,-1,1,Q7,CEN,bin,Q7-CEN-43,active
I I A 09,4,50x50x50,125000,I,A,1,9,-1,1,Q7,CEN,bin,Q7-CEN-44,active
I I A 10,4,50x50x50,125000,I,A,1,10,-1,1,Q7,CEN,bin,Q7-CEN-45,active
I I A 100,3,100x20x30,60000,I,A,1,100,-1,1,Q7,CEN,bin,Q7-CEN-46,active
I I A 11,4,50x50x50,125000,I,A,1,11,-1,1,Q7,CEN,bin,Q7-CEN-47,active
I I A 12,4,50x50x50,125000,I,A,1,12,-1,1,Q7,CEN,bin,Q7-CEN-48,active
I I A 13,4,50x50x50,125000,I,A,1,13,-1,1,Q7,CEN,bin,Q7-CEN-49,active
I I A 14,4,50x50x50,125000,I,A,1,14,-1,1,Q7,CEN,bin,Q7-CEN-50,active
I I A 15,4,50x50x50,125000,I,A,1,15,-1,1,Q7,CEN,bin,Q7-CEN-51,active
I I A 16,4,50x50x50,125000,I,A,1,16,-1,1,Q7,CEN,bin,Q7-CEN-52,active
I I A 17,4,50x50x50,125000,I,A,1,17,-1,1,Q7,CEN,bin,Q7-CEN-53,active
I I A 18,4,50x50x50,125000,I,A,1,18,-1,1,Q7,CEN,bin,Q7-CEN-54,active
I I A 19,4,50x50x50,125000,I,A,1,19,-1,1,Q7,CEN,bin,Q7-CEN-55,active
I I A 20,4,50x50x50,125000,I,A,1,20,-1,1,Q7,CEN,bin,Q7-CEN-56,active
I I A 200,2,10x10x30,3000,I,A,1,200,-1,1,Q7,CEN,bin,Q7-CEN-57,active
I I A 202,2,10x10x30,3000,I,A,1,202,-1,1,Q7,CEN,bin,Q7-CEN-58,active
I I A 21,4,50x50x50,125000,I,A,1,21,-1,1,Q7,CEN,bin,Q7-CEN-59,active
I I A 22,4,50x50x50,125000,I,A,1,22,-1,1,Q7,CEN,bin,Q7-CEN-60,active
I I A 23,4,50x50x50,125000,I,A,1,23,-1,1,Q7,CEN,bin,Q7-CEN-61,active
I I A 24,4,50x50x50,125000,I,A,1,24,-1,1,Q7,CEN,bin,Q7-CEN-62,active
I I A 25,4,50x50x50,125000,I,A,1,25,-1,1,Q7,CEN,bin,Q7-CEN-63,active
I I A 26,4,50x50x50,125000,I,A,1,26,-1,1,Q7,CEN,bin,Q7-CEN-64,active
I I A 27,4,50x50x50,125000,I,A,1,27,-1,1,Q7,CEN,bin,Q7-CEN-65,active
I I A 28,4,50x50x50,125000,I,A,1,28,-1,1,Q7,CEN,bin,Q7-CEN-66,active
I I A 29,4,50x50x50,125000,I,A,1,29,-1,1,Q7,CEN,bin,Q7-CEN-67,active
I I A 30,4,50x50x50,125000,I,A,1,30,-1,1,Q7,CEN,bin,Q7-CEN-68,active
I I A 31,4,50x50x50,125000,I,A,1,31,-1,1,Q7,CEN,bin,Q7-CEN-69,active
I I A 32,4,50x50x50,125000,I,A,1,32,-1,1,Q7,CEN,bin,Q7-CEN-70,active
I I A 33,4,50x50x50,125000,I,A,1,33,-1,1,Q7,CEN,bin,Q7-CEN-71,active
