Status,Neutral,Warehouse,Guid,Code,Type,Area,SubNode,name,Latitude,Longitude,Level,X,Y
active,null,BRYA,null,BRYA-WS2-1,empty,BD,null,node01,0,0,1,null,null
active,null,BRYA,null,BRYA-WS2-2,empty,BD,null,node02,1,0,1,null,null
active,null,BRYA,null,BRYA-WS2-3,empty,BD,null,node03,2,0,1,null,null
active,null,BRYA,null,BRYA-WS2-4,empty,BD,null,node04,3,0,1,null,null
active,null,BRYA,null,BRYA-WS2-5,empty,BD,null,node05,4,0,1,null,null
active,null,BRYA,null,BRYA-WS2-6,empty,BD,null,node06,5,0,1,null,null
active,null,BRYA,null,BRYA-WS2-7,empty,BD,null,node07,6,0,1,null,null
active,null,BRYA,null,BRYA-WS2-8,empty,BD,null,node08,7,0,1,null,null
active,null,BRYA,null,BRYA-WS2-9,empty,BD,null,node09,8,0,1,null,null
active,null,BRYA,null,BRYA-WS2-10,empty,BD,null,node10,9,0,1,null,null
active,null,BRYA,null,BRYA-WS2-11,bin,BD,null,node11,10,0,1,null,null
active,null,BRYA,null,BRYA-WS2-12,bin,BD,null,node12,11,0,1,null,null
active,null,BRYA,null,BRYA-WS2-13,bin,BD,null,node13,12,0,1,null,null
active,null,BRYA,null,BRYA-WS2-14,bin,BD,null,node14,13,0,1,null,null
active,null,BRYA,null,BRYA-WS2-15,bin,BD,null,node15,14,0,1,null,null
active,null,BRYA,null,BRYA-WS2-16,bin,BD,null,node16,15,0,1,null,null
active,null,BRYA,null,BRYA-WS2-17,bin,BD,null,node17,16,0,1,null,null
active,null,BRYA,null,BRYA-WS2-18,bin,BD,null,node18,17,0,1,null,null
active,null,BRYA,null,BRYA-WS2-19,bin,BD,null,node19,18,0,1,null,null
active,null,BRYA,null,BRYA-WS2-20,path,BD,null,node20,19,0,1,null,null
active,null,BRYA,null,BRYA-WS2-21,empty,BD,null,node21,20,0,1,null,null
active,null,BRYA,null,BRYA-WS2-22,empty,BD,null,node22,21,0,1,null,null
active,null,BRYA,null,BRYA-WS2-23,empty,BD,null,node23,22,0,1,null,null
active,null,BRYA,null,BRYA-WS2-24,empty,BD,null,node24,23,0,1,null,null
active,null,BRYA,null,BRYA-WS2-25,empty,BD,null,node25,24,0,1,null,null
active,null,BRYA,null,BRYA-WS2-26,empty,BD,null,node26,25,0,1,null,null
active,null,BRYA,null,BRYA-WS2-27,empty,BD,null,node27,26,0,1,null,null
active,null,BRYA,null,BRYA-WS2-28,empty,BD,null,node28,27,0,1,null,null
active,null,BRYA,null,BRYA-WS2-29,empty,BD,null,node29,28,0,1,null,null
active,null,BRYA,null,BRYA-WS2-30,empty,BD,null,node30,29,0,1,null,null
active,null,BRYA,null,BRYA-WS2-31,empty,BD,null,node31,30,0,1,null,null
active,null,BRYA,null,BRYA-WS2-32,empty,BD,null,node32,31,0,1,null,null
active,null,BRYA,null,BRYA-WS2-33,empty,BD,null,node33,32,0,1,null,null
active,null,BRYA,null,BRYA-WS2-34,empty,BD,null,node34,33,0,1,null,null
active,null,BRYA,null,BRYA-WS2-35,empty,BD,null,node35,34,0,1,null,null
active,null,BRYA,null,BRYA-WS2-36,empty,BD,null,node36,35,0,1,null,null
active,null,BRYA,null,BRYA-WS2-37,empty,BD,null,node37,36,0,1,null,null
active,null,BRYA,null,BRYA-WS2-38,empty,BD,null,node38,0,1,1,null,null
active,null,BRYA,null,BRYA-WS2-39,empty,BD,null,node39,1,1,1,null,null
