Status,Neutral,Warehouse,Guid,Code,Type,Area,SubNode,name,Latitude,Longitude,Level,X,Y
active,1,null,null,null,path,null,['null'],node00,0,0,2,null,null
active,1,null,null,null,bin,null,['null'],node01,1,0,2,null,null
active,1,null,null,null,bin,null,['null'],node02,2,0,2,null,null
active,1,null,null,null,bin,null,['null'],node03,3,0,2,null,null
active,1,null,null,null,bin,null,['null'],node04,4,0,2,null,null
active,1,null,null,null,bin,null,['null'],node05,5,0,2,null,null
active,1,null,null,null,bin,null,['null'],node06,6,0,2,null,null
active,1,null,null,null,bin,null,['null'],node07,7,0,2,null,null
active,1,null,null,null,bin,null,['null'],node08,8,0,2,null,null
active,1,null,null,null,bin,null,['null'],node09,9,0,2,null,null
active,1,null,null,null,bin,null,['null'],node10,10,0,2,null,null
active,1,null,null,null,bin,null,['null'],node11,11,0,2,null,null
active,1,null,null,null,bin,null,['null'],node12,12,0,2,null,null
active,1,null,null,null,bin,null,['null'],node13,13,0,2,null,null
active,1,null,null,null,bin,null,['null'],node14,14,0,2,null,null
active,1,null,null,null,bin,null,['null'],node15,15,0,2,null,null
active,1,null,null,null,bin,null,['null'],node16,16,0,2,null,null
active,1,null,null,null,bin,null,['null'],node17,17,0,2,null,null
active,1,null,null,null,bin,null,['null'],node18,18,0,2,null,null
active,1,null,null,null,bin,null,['null'],node19,19,0,2,null,null
active,1,null,null,null,bin,null,['null'],node20,20,0,2,null,null
active,1,null,null,null,bin,null,['null'],node21,21,0,2,null,null
active,1,null,null,null,bin,null,['null'],node22,22,0,2,null,null
active,1,null,null,null,bin,null,['null'],node23,23,0,2,null,null
active,1,null,null,null,bin,null,['null'],node24,24,0,2,null,null
active,1,null,null,null,bin,null,['null'],node25,25,0,2,null,null
active,1,null,null,null,bin,null,['null'],node26,26,0,2,null,null
active,1,null,null,null,bin,null,['null'],node27,27,0,2,null,null
active,1,null,null,null,bin,null,['null'],node28,28,0,2,null,null
active,1,null,null,null,bin,null,['null'],node29,29,0,2,null,null
active,1,null,null,null,empty,null,['null'],node30,30,0,2,null,null
active,1,null,null,null,stairs,null,['null'],node31,31,0,2,null,null
active,1,null,null,null,stairs,null,['null'],node32,32,0,2,null,null
active,1,null,null,null,path,null,['null'],node33,0,1,2,null,null
active,1,null,null,null,path,null,['null'],node34,1,1,2,null,null
active,1,null,null,null,path,null,['null'],node35,2,1,2,null,null
active,1,null,null,null,path,null,['null'],node36,3,1,2,null,null
active,1,null,null,null,path,null,['null'],node37,4,1,2,null,null
active,1,null,null,null,path,null,['null'],node38,5,1,2,null,null
active,1,null,null,null,path,null,['null'],node39,6,1,2,null,null
active,1,null,null,null,path,null,['null'],node40,7,1,2,null,null
active,1,null,null,null,path,null,['null'],node41,8,1,2,null,null
active,1,null,null,null,path,null,['null'],node42,9,1,2,null,null
active,1,null,null,null,path,null,['null'],node43,10,1,2,null,null
active,1,null,null,null,path,null,['null'],node44,11,1,2,null,null
active,1,null,null,null,path,null,['null'],node45,12,1,2,null,null
active,1,null,null,null,path,null,['null'],node46,13,1,2,null,null
active,1,null,null,null,path,null,['null'],node47,14,1,2,null,null
active,1,null,null,null,path,null,['null'],node48,15,1,2,null,null
active,1,null,null,null,path,null,['null'],node49,16,1,2,null,null
active,1,null,null,null,path,null,['null'],node50,17,1,2,null,null
active,1,null,null,null,path,null,['null'],node51,18,1,2,null,null
active,1,null,null,null,path,null,['null'],node52,19,1,2,null,null
active,1,null,null,null,path,null,['null'],node53,20,1,2,null,null
active,1,null,null,null,path,null,['null'],node54,21,1,2,null,null
active,1,null,null,null,path,null,['null'],node55,22,1,2,null,null
active,1,null,null,null,path,null,['null'],node56,23,1,2,null,null
active,1,null,null,null,path,null,['null'],node57,24,1,2,null,null
active,1,null,null,null,path,null,['null'],node58,25,1,2,null,null
active,1,null,null,null,path,null,['null'],node59,26,1,2,null,null
active,1,null,null,null,path,null,['null'],node60,27,1,2,null,null
active,1,null,null,null,path,null,['null'],node61,28,1,2,null,null
active,1,null,null,null,path,null,['null'],node62,29,1,2,null,null
active,1,null,null,null,path,null,['null'],node63,30,1,2,null,null
active,1,null,null,null,path,null,['null'],node64,31,1,2,null,null
active,1,null,null,null,path,null,['null'],node65,32,1,2,null,null
active,1,null,null,null,path,null,['null'],node66,0,2,2,null,null
active,1,null,null,null,bin,null,['null'],node67,1,2,2,null,null
active,1,null,null,null,bin,null,['null'],node68,2,2,2,null,null
active,1,null,null,null,bin,null,['null'],node69,3,2,2,null,null
active,1,null,null,null,bin,null,['null'],node70,4,2,2,null,null
active,1,null,null,null,bin,null,['null'],node71,5,2,2,null,null
active,1,null,null,null,bin,null,['null'],node72,6,2,2,null,null
active,1,null,null,null,bin,null,['null'],node73,7,2,2,null,null
active,1,null,null,null,bin,null,['null'],node74,8,2,2,null,null
active,1,null,null,null,bin,null,['null'],node75,9,2,2,null,null
active,1,null,null,null,bin,null,['null'],node76,10,2,2,null,null
active,1,null,null,null,bin,null,['null'],node77,11,2,2,null,null
active,1,null,null,null,bin,null,['null'],node78,12,2,2,null,null
active,1,null,null,null,bin,null,['null'],node79,13,2,2,null,null
active,1,null,null,null,bin,null,['null'],node80,14,2,2,null,null
active,1,null,null,null,bin,null,['null'],node81,15,2,2,null,null
active,1,null,null,null,bin,null,['null'],node82,16,2,2,null,null
active,1,null,null,null,path,null,['null'],node83,17,2,2,null,null
active,1,null,null,null,bin,null,['null'],node84,18,2,2,null,null
active,1,null,null,null,bin,null,['null'],node85,19,2,2,null,null
active,1,null,null,null,bin,null,['null'],node86,20,2,2,null,null
active,1,null,null,null,bin,null,['null'],node87,21,2,2,null,null
active,1,null,null,null,bin,null,['null'],node88,22,2,2,null,null
active,1,null,null,null,bin,null,['null'],node89,23,2,2,null,null
active,1,null,null,null,bin,null,['null'],node90,24,2,2,null,null
active,1,null,null,null,bin,null,['null'],node91,25,2,2,null,null
active,1,null,null,null,bin,null,['null'],node92,26,2,2,null,null
active,1,null,null,null,bin,null,['null'],node93,27,2,2,null,null
active,1,null,null,null,bin,null,['null'],node94,28,2,2,null,null
active,1,null,null,null,bin,null,['null'],node95,29,2,2,null,null
active,1,null,null,null,bin,null,['null'],node96,30,2,2,null,null
active,1,null,null,null,bin,null,['null'],node97,31,2,2,null,null
active,1,null,null,null,path,null,['null'],node98,32,2,2,null,null
active,1,null,null,null,path,null,['null'],node99,0,3,2,null,null
active,1,null,null,null,bin,null,['null'],node100,1,3,2,null,null
active,1,null,null,null,bin,null,['null'],node101,2,3,2,null,null
active,1,null,null,null,bin,null,['null'],node102,3,3,2,null,null
active,1,null,null,null,bin,null,['null'],node103,4,3,2,null,null
active,1,null,null,null,bin,null,['null'],node104,5,3,2,null,null
active,1,null,null,null,bin,null,['null'],node105,6,3,2,null,null
active,1,null,null,null,bin,null,['null'],node106,7,3,2,null,null
active,1,null,null,null,bin,null,['null'],node107,8,3,2,null,null
active,1,null,null,null,bin,null,['null'],node108,9,3,2,null,null
active,1,null,null,null,bin,null,['null'],node109,10,3,2,null,null
active,1,null,null,null,bin,null,['null'],node110,11,3,2,null,null
active,1,null,null,null,bin,null,['null'],node111,12,3,2,null,null
active,1,null,null,null,bin,null,['null'],node112,13,3,2,null,null
active,1,null,null,null,bin,null,['null'],node113,14,3,2,null,null
active,1,null,null,null,bin,null,['null'],node114,15,3,2,null,null
active,1,null,null,null,bin,null,['null'],node115,16,3,2,null,null
active,1,null,null,null,path,null,['null'],node116,17,3,2,null,null
active,1,null,null,null,bin,null,['null'],node117,18,3,2,null,null
active,1,null,null,null,bin,null,['null'],node118,19,3,2,null,null
active,1,null,null,null,bin,null,['null'],node119,20,3,2,null,null
active,1,null,null,null,bin,null,['null'],node120,21,3,2,null,null
active,1,null,null,null,bin,null,['null'],node121,22,3,2,null,null
active,1,null,null,null,bin,null,['null'],node122,23,3,2,null,null
active,1,null,null,null,bin,null,['null'],node123,24,3,2,null,null
active,1,null,null,null,bin,null,['null'],node124,25,3,2,null,null
active,1,null,null,null,bin,null,['null'],node125,26,3,2,null,null
active,1,null,null,null,bin,null,['null'],node126,27,3,2,null,null
active,1,null,null,null,bin,null,['null'],node127,28,3,2,null,null
active,1,null,null,null,bin,null,['null'],node128,29,3,2,null,null
active,1,null,null,null,bin,null,['null'],node129,30,3,2,null,null
active,1,null,null,null,bin,null,['null'],node130,31,3,2,null,null
active,1,null,null,null,path,null,['null'],node131,32,3,2,null,null
active,1,null,null,null,path,null,['null'],node132,0,4,2,null,null
active,1,null,null,null,path,null,['null'],node133,1,4,2,null,null
active,1,null,null,null,path,null,['null'],node134,2,4,2,null,null
active,1,null,null,null,path,null,['null'],node135,3,4,2,null,null
active,1,null,null,null,path,null,['null'],node136,4,4,2,null,null
active,1,null,null,null,path,null,['null'],node137,5,4,2,null,null
active,1,null,null,null,path,null,['null'],node138,6,4,2,null,null
active,1,null,null,null,path,null,['null'],node139,7,4,2,null,null
active,1,null,null,null,path,null,['null'],node140,8,4,2,null,null
active,1,null,null,null,path,null,['null'],node141,9,4,2,null,null
active,1,null,null,null,path,null,['null'],node142,10,4,2,null,null
active,1,null,null,null,path,null,['null'],node143,11,4,2,null,null
active,1,null,null,null,path,null,['null'],node144,12,4,2,null,null
active,1,null,null,null,path,null,['null'],node145,13,4,2,null,null
active,1,null,null,null,path,null,['null'],node146,14,4,2,null,null
active,1,null,null,null,path,null,['null'],node147,15,4,2,null,null
active,1,null,null,null,path,null,['null'],node148,16,4,2,null,null
active,1,null,null,null,path,null,['null'],node149,17,4,2,null,null
active,1,null,null,null,path,null,['null'],node150,18,4,2,null,null
active,1,null,null,null,path,null,['null'],node151,19,4,2,null,null
active,1,null,null,null,path,null,['null'],node152,20,4,2,null,null
active,1,null,null,null,path,null,['null'],node153,21,4,2,null,null
active,1,null,null,null,path,null,['null'],node154,22,4,2,null,null
active,1,null,null,null,path,null,['null'],node155,23,4,2,null,null
active,1,null,null,null,path,null,['null'],node156,24,4,2,null,null
active,1,null,null,null,path,null,['null'],node157,25,4,2,null,null
active,1,null,null,null,path,null,['null'],node158,26,4,2,null,null
active,1,null,null,null,path,null,['null'],node159,27,4,2,null,null
active,1,null,null,null,path,null,['null'],node160,28,4,2,null,null
active,1,null,null,null,path,null,['null'],node161,29,4,2,null,null
active,1,null,null,null,path,null,['null'],node162,30,4,2,null,null
active,1,null,null,null,path,null,['null'],node163,31,4,2,null,null
active,1,null,null,null,path,null,['null'],node164,32,4,2,null,null
active,1,null,null,null,path,null,['null'],node165,0,5,2,null,null
active,1,null,null,null,bin,null,['null'],node166,1,5,2,null,null
active,1,null,null,null,bin,null,['null'],node167,2,5,2,null,null
active,1,null,null,null,bin,null,['null'],node168,3,5,2,null,null
active,1,null,null,null,bin,null,['null'],node169,4,5,2,null,null
active,1,null,null,null,bin,null,['null'],node170,5,5,2,null,null
active,1,null,null,null,bin,null,['null'],node171,6,5,2,null,null
active,1,null,null,null,bin,null,['null'],node172,7,5,2,null,null
active,1,null,null,null,bin,null,['null'],node173,8,5,2,null,null
active,1,null,null,null,bin,null,['null'],node174,9,5,2,null,null
active,1,null,null,null,bin,null,['null'],node175,10,5,2,null,null
active,1,null,null,null,bin,null,['null'],node176,11,5,2,null,null
