SKU,Location,Qty,ExpiredDate,SubLevel,Latitude,Longitude,level
SPBAN,LC A 111,5,2020-07-08,LC,10,12,1
SPBAN,PA A 01,5,2020-06-30,PA,8,14,1
SPBAN,PA A 02,5,2020-06-19,PA,10,11,1
SPBAN,PA A 03,5,2020-06-25,PA,11,12,1
SPBAN,PA A 04,5,2020-07-16,PA,8,14,1
SPBAN,PA A 05,5,2020-06-23,PA,13,14,1
SPBAN,PA A 06,5,2020-07-13,PA,10,11,1
SPBAN,PA A 07,5,2020-06-18,PA,10,11,1
SPBAN,PA A 08,5,2020-07-17,PA,11,13,1
SPBAN,PA A 09,5,2020-07-04,PA,13,14,1
SPBAN,PA A 10,5,2020-07-13,PA,8,13,1
SPBAN,HL A 01,5,2020-06-27,HL,10,14,1
SPBAN,HL A 02,5,2020-06-24,HL,13,13,1
SPBAN,HL A 03,5,2020-07-07,HL,10,13,1
SPBAN,HL A 04,5,2020-06-28,HL,13,11,1
SPBAN,HL A 05,5,2020-06-20,HL,11,14,1
SPBAN,HL A 06,5,2020-07-02,HL,7,14,1
SPBAN,HL A 07,5,2020-06-20,HL,11,13,1
SPBAN,HL A 08,5,2020-07-05,HL,14,13,1
SPBAN,HL A 09,5,2020-07-11,HL,11,14,1
SPBAN,HL A 10,5,2020-06-30,HL,8,13,1
SPBAN,HL A 11,5,2020-06-20,HL,11,13,1
SPBAN,HL A 12,5,2020-07-13,HL,14,13,1
SPBAN,HL A 13,5,2020-07-15,HL,13,13,1
SPBAN,HL A 14,5,2020-07-02,HL,7,14,1
SPBAN,HL A 15,5,2020-06-23,HL,8,13,1
SPBAN,HL A 16,5,2020-07-05,HL,10,11,1
SPBAN,HL A 17,5,2020-06-17,HL,8,14,1
SPBAN,HL A 18,5,2020-06-23,HL,13,12,1
SPBAN,HL A 19,5,2020-06-22,HL,7,11,1
SPBAN,HL A 20,5,2020-06-22,HL,7,13,1
SPBAN,HL A 21,5,2020-06-17,HL,8,14,1
SPBAN,HL A 22,5,2020-06-30,HL,13,13,1
SPBAN,HL A 23,5,2020-07-03,HL,13,11,1
SPBAN,HL A 24,5,2020-07-02,HL,11,13,1
SPBAN,HL A 25,5,2020-07-03,HL,8,13,1
SPBAN,HL A 26,7,2020-06-30,HL,13,14,1
SPBAN,HL A 27,5,2020-07-03,HL,13,13,1
SPBAN,HL A 28,4,2020-06-29,HL,13,13,1
SPBAN,HL A 29,4,2020-06-24,HL,8,13,1
SPBAN,HL A 30,3,2020-06-26,HL,10,14,1
SPBAN,TL A 01,9,2020-07-15,TL,14,12,1
SPBAN,TL A 02,1,2020-06-17,TL,14,11,1
SPBAN,TL A 03,4,2020-06-28,TL,7,14,1
SPBAN,TL A 04,4,2020-06-24,TL,11,13,1
SPBAN,TL A 05,3,2020-06-30,TL,11,13,1
SPBAN,Q A 01,4,2020-06-23,Q,14,13,1
SPBAN,Q A 02,4,2020-07-02,Q,11,13,1
SPBAN,Q A 03,9,2020-06-19,Q,8,11,1
SPBAN,Q A 04,5,2020-07-07,Q,11,13,1
SPBAN,Q A 05,3,2020-07-07,Q,13,13,1
